target,alt_target,ra,dec,tmag,priority,duration,comments
TIC 406385649.0,9319434009579,270.8950761437706,-28.76301669222689,11.908241,4,2,"P=15.90h, Amp=1.53mag, CVprob=0.98, Bulge"
TIC 378243895.0,8909867006299,273.77520950983813,-24.55024568678797,11.698636,4,2,"P=9.10h, Amp=2.43mag, CVprob=0.98, Bulge"
TIC 1424976145.0,9462775008017,269.24388830779776,-30.26675870958816,14.992532,4,2,"P=44.59h, Amp=1.02mag, CVprob=0.98, Bulge"
TIC 249368863.0,8967198001726,272.64118939881274,-25.13097759033586,13.515119,4,2,"P=11.94h, Amp=1.73mag, CVprob=0.98, Bulge"
TIC 1609034445.0,9081881000194,272.2284729786004,-26.321239046923637,15.078883,4,2,"P=11.94h, Amp=1.64mag, CVprob=0.98, Bulge"
TIC 1613625459.0,8901665005513,272.8729140512971,-24.491061344622093,15.487545,4,2,"P=9.50h, Amp=2.11mag, CVprob=0.98, Bulge"
TIC 1614009230.0,8795181063643,273.95306060706014,-23.42275589448596,15.398478,4,2,"P=3.92h, Amp=1.93mag, CVprob=0.98, Bulge"
TIC 1613702854.0,8860710006140,273.3609484476911,-24.107357038976566,13.681734,4,2,"P=9.50h, Amp=1.98mag, CVprob=0.98, Bulge"
TIC 1606448057.0,9151503005602,271.3392134328081,-27.038102492559783,15.785627,4,2,"P=3.73h, Amp=1.42mag, CVprob=0.98, Bulge"
TIC 1606581755.0,9126933000644,271.87844976135943,-26.791392469830512,13.903761,4,2,"P=23.09h, Amp=1.43mag, CVprob=0.98, Bulge"
TIC 195946129.0,9294852000712,270.33418422935017,-28.50637690885595,13.211275,4,2,"P=0.22h, Amp=1.46mag, CVprob=0.98, Bulge"
TIC 1606648309.0,9102357000944,271.8779539757997,-26.520944630993515,12.89799,4,2,"P=4.79h, Amp=1.10mag, CVprob=0.98, Bulge"
TIC 248761226.0,8999960000283,272.1218139482487,-25.51796566739288,13.401585,4,2,"P=0.24h, Amp=1.08mag, CVprob=0.98, Bulge"
TIC 249059281.0,9016347007267,272.39131675055506,-25.655274219983724,11.222708,4,2,"P=10.63h, Amp=1.95mag, CVprob=0.98, Bulge"
TIC 249046506.0,9118748010996,272.5008163297962,-26.722789862094697,11.888726,4,2,"P=1.79h, Amp=1.40mag, CVprob=0.98, Bulge"
TIC 1603487082.0,9327617000893,270.10822474836624,-28.85243162883966,15.431648,4,2,"P=0.24h, Amp=1.01mag, CVprob=0.98, Bulge"
TIC 406472484.0,9303051010513,270.9556631427016,-28.57411081657189,11.796259,4,2,"P=15.90h, Amp=1.68mag, CVprob=0.98, Bulge"
TIC 443921714.0,9045011000213,271.7387996040566,-25.96105194852508,13.386443,4,2,"P=0.24h, Amp=1.88mag, CVprob=0.98, Bulge"
TIC 1609453225.0,9032729003347,272.23194406145296,-25.813727099012763,13.965754,4,2,"P=11.94h, Amp=1.53mag, CVprob=0.98, Bulge"
TIC 406301641.0,9188362002807,270.89486220587884,-27.398727016237483,12.126182,4,2,"P=8.11h, Amp=2.06mag, CVprob=0.98, Bulge"
TIC 377354461.0,8983586001204,272.98827240459326,-25.321773112207328,12.462978,4,2,"P=11.94h, Amp=1.88mag, CVprob=0.98, Bulge"
TIC 1612348960.0,8873003000666,273.8035282386357,-24.213098756309897,14.681759,4,2,"P=0.24h, Amp=1.55mag, CVprob=0.98, Bulge"
TIC 196535527.0,9327622000463,270.5345145947132,-28.810613290248277,13.323422,4,2,"P=0.24h, Amp=1.42mag, CVprob=0.98, Bulge"
TIC 195176819.0,9434113002318,270.076485451547,-29.967921778076043,12.047049,4,2,"P=4.77h, Amp=2.17mag, CVprob=0.98, Bulge"
TIC 443773599.0,9135122006246,271.6186509889786,-26.857934544745365,11.767155,4,2,"P=23.09h, Amp=1.72mag, CVprob=0.98, Bulge"
TIC 195788823.0,9331714001867,270.18791812177403,-28.88433216393909,13.726472,4,2,"P=5.99h, Amp=1.40mag, CVprob=0.98, Bulge"
TIC 249063658.0,8983580000095,272.45339647990426,-25.319445099289474,12.901961,4,2,"P=11.94h, Amp=1.86mag, CVprob=0.98, Bulge"
TIC 1606511340.0,9147405000412,271.1512816238835,-27.002993765067718,14.634683,4,2,"P=23.09h, Amp=1.33mag, CVprob=0.98, Bulge"
TIC 249646761.0,8856616001046,273.5450540519859,-24.047374672819448,12.429648,4,2,"P=9.50h, Amp=2.10mag, CVprob=0.98, Bulge"
TIC 1609268442.0,9024541001140,272.586689668344,-25.74118291718379,13.37606,4,2,"P=11.94h, Amp=1.21mag, CVprob=0.98, Bulge"
TIC 1605521710.0,9188374000520,271.9328422432717,-27.433192922122487,14.655942,4,2,"P=6.07h, Amp=1.01mag, CVprob=0.98, Bulge"
TIC 407091949.0,9262093000663,271.16183828469786,-28.18606527571709,12.164463,4,2,"P=0.24h, Amp=1.65mag, CVprob=0.98, Bulge"
TIC 1609223702.0,9045019008034,272.394561103643,-25.96220897277972,15.539993,4,2,"P=11.94h, Amp=1.53mag, CVprob=0.98, Bulge"
TIC 407725008.0,9221135000790,271.34836258074284,-27.753333670381043,12.313091,4,2,"P=5.99h, Amp=1.62mag, CVprob=0.98, Bulge"
TIC 196533137.0,9339910001260,270.58850066201103,-28.987454161400223,13.307666,4,2,"P=5.99h, Amp=1.36mag, CVprob=0.98, Bulge"
TIC 406386943.0,9327626003393,270.8929872900975,-28.85985249789537,14.0655365,4,2,"P=4.91h, Amp=1.31mag, CVprob=0.98, Bulge"
TIC 244504885.0,8606770100318,274.40107865141505,-21.589813002077676,11.3857155,4,2,"P=8.00h, Amp=2.51mag, CVprob=0.98, Bulge"
TIC 264970976.0,9462787003013,270.31566219301993,-30.287838524124567,11.45926,4,2,"P=4.77h, Amp=2.45mag, CVprob=0.98, Bulge"
TIC 136154376.0,9376762027999,269.46285112615084,-29.351620072529425,11.874302,4,2,"P=3.52h, Amp=2.67mag, CVprob=0.98, Bulge"
TIC 248419772.0,9143318000200,271.9610214573562,-26.96140378017672,12.508322,4,2,"P=6.07h, Amp=1.09mag, CVprob=0.98, Bulge"
TIC 196399352.0,9274373001553,270.4992081062853,-28.28520745233206,13.447749,4,2,"P=5.99h, Amp=1.48mag, CVprob=0.98, Bulge"
TIC 406472311.0,9303051009102,270.9606191077773,-28.58236745266367,11.761922,4,2,"P=15.90h, Amp=1.73mag, CVprob=0.98, Bulge"
TIC 248885817.0,9167897002769,272.2500898825317,-27.18964075707466,11.5183325,4,2,"P=7.95h, Amp=1.73mag, CVprob=0.98, Bulge"
TIC 248458357.0,9004053008136,271.913060973113,-25.54414708072635,11.485537,4,2,"P=3.14h, Amp=2.17mag, CVprob=0.98, Bulge"
TIC 1606875773.0,9102351008404,271.36797372541275,-26.531142999116465,16.092782,4,2,"P=23.09h, Amp=1.11mag, CVprob=0.98, Bulge"
TIC 443775956.0,9118739000045,271.6905000375886,-26.6787227309425,13.774248,4,2,"P=4.79h, Amp=1.39mag, CVprob=0.98, Bulge"
TIC 1613935132.0,8815654023041,273.38209029506464,-23.63743793292834,15.304513,4,2,"P=5.04h, Amp=2.41mag, CVprob=0.98, Bulge"
TIC 407289504.0,9184270009935,271.2607318723041,-27.353578443750465,12.945513,4,2,"P=5.98h, Amp=1.65mag, CVprob=0.98, Bulge"
TIC 1603894796.0,9307142000532,270.58447631422825,-28.61436171106545,13.490893,4,2,"P=5.99h, Amp=1.51mag, CVprob=0.98, Bulge"
TIC 377461520.0,9049122007051,272.9859288953468,-26.00112573970581,11.7864685,4,2,"P=3.18h, Amp=1.34mag, CVprob=0.98, Bulge"
TIC 248460760.0,8987670000503,271.9708417744741,-25.37146272617399,13.447012,4,2,"P=0.24h, Amp=1.17mag, CVprob=0.98, Bulge"
TIC 1606087226.0,9167883009629,270.9950964942752,-27.175490263957645,13.608763,4,2,"P=23.09h, Amp=1.47mag, CVprob=0.98, Bulge"
TIC 1605428685.0,9176088008344,272.142163863053,-27.275836804797105,11.849522,4,2,"P=8.30h, Amp=1.23mag, CVprob=0.98, Bulge"
TIC 1439002983.0,9360380000078,269.67203278178584,-29.16771234008858,11.769177,4,2,"P=22.40h, Amp=2.41mag, CVprob=0.98, Bulge"
TIC 1605752223.0,9135125000847,271.8959944221028,-26.8417234798652,14.868593,4,2,"P=6.07h, Amp=1.49mag, CVprob=0.98, Bulge"
TIC 1609333988.0,9049110003173,271.9015371278236,-25.987676254457117,15.892609,4,2,"P=11.94h, Amp=1.70mag, CVprob=0.98, Bulge"
TIC 443771491.0,9151506001509,271.63239771369643,-27.020263426071885,11.680234,4,2,"P=23.09h, Amp=1.60mag, CVprob=0.98, Bulge"
TIC 264571310.0,8860708000111,273.15607170038624,-24.10213618831885,13.080437,4,2,"P=9.50h, Amp=2.12mag, CVprob=0.98, Bulge"
TIC 443771139.0,9155603009464,271.65485301100586,-27.046050888139952,11.764827,4,2,"P=23.09h, Amp=1.27mag, CVprob=0.98, Bulge"
TIC 1606742378.0,9131021000015,271.13102930835424,-26.798090512560105,13.656429,4,2,"P=4.81h, Amp=1.77mag, CVprob=0.98, Bulge"
TIC 248753404.0,9061400000927,272.1341712748969,-26.12685130950385,13.234321,4,2,"P=11.94h, Amp=1.60mag, CVprob=0.98, Bulge"
TIC 1606551462.0,9131023000549,271.29467956358945,-26.833081861447468,14.77738,4,2,"P=4.79h, Amp=1.34mag, CVprob=0.98, Bulge"
TIC 196393534.0,9241605007272,270.4503714094113,-27.96345841852386,10.966762,4,2,"P=23.39h, Amp=2.47mag, CVprob=0.98, Bulge"
TIC 1610059889.0,8959010000708,272.9697877777797,-25.09943698817022,13.406315,4,2,"P=9.50h, Amp=1.92mag, CVprob=0.98, Bulge"
TIC 249049648.0,9094171000377,272.4134702156193,-26.45923982669733,11.55026,4,2,"P=7.99h, Amp=1.98mag, CVprob=0.98, Bulge"
TIC 407370934.0,9106447011004,271.29666112786936,-26.55324836746844,11.22521,4,2,"P=23.30h, Amp=2.57mag, CVprob=0.98, Bulge"
