Name,RA (2000) ,DEC (2000) ,Object Type ,RA (deg),Dec (deg)
BY Cir ,14:44:53.46,-63:53:55.80,n ,221.22280916666662,-63.89886194444444
AR Cir ,14:48:09.53,-60:00:27.50,n ,222.03860083333333,-60.00689777777778
Lib3 ,14:50:38.62,-24:22:50.00,ux ,,
EK TrA ,15:14:00.90,-65:05:35.00,ugsu ,228.50573374999996,-65.09230694444445
DE Cir ,15:17:52.48,-61:57:16.40,n ,229.46953874999997,-61.95451666666667
GW Lib ,15:19:55.43,-25:00:25.30,ugwz ,229.98055541666665,-25.006837222222224
IL Nor ,15:29:23.12,-50:35:00.00,nb ,232.34658499999998,-50.583533888888894
BR Lup ,35:53.00,-40:34:06.00,ugsu ,233.97145041666664,-40.568354444444445
IM Nor ,15:39:26.47,-52:19:18.00,nrb ,234.86032874999998,-52.32165777777778
V344 Nor ,15:40:30.58,-51:12:55.50,non-cv ,235.12717624999996,-51.21519972222222
Lup ,15:48:14.59,-45:28:40.50,dq ,,
AB Nor ,15:49:15.48,-43:04:48.70,ugsu ,237.31443124999996,-43.08014722222222
Nor ,16:00:47.43,-48:46:07.60,ugwz ,,
V345 Nor ,16:06:44.59,-52:03:01.90,non-cv ,241.71535375,-52.07633722222223
V341 Nor ,16:13:44.40,-53:19:08.00,n ,243.43499999999995,-53.31888888888889
V893 Sco ,16:15:14.98,-28:37:32.10,ug ,243.8124183333333,-28.625586944444446
Sco ,16:16:59.80,-22:58:18.00,ug ,,
Sco ,16:17:01.60,-22:58:28.00,cv ,,
Sco ,16:17:02.01,-22:58:33.00,cv ,,
Sco ,16:17:02.10,-22:58:31.80,cv ,,
Sco ,16:17:02.20,-22:58:37.90,ug ,,
Sco ,16:17:02.58,-22:58:36.50,cv ,,
T Sco ,16:17:02.83,-22:58:31.30,n ,244.24901541666662,-22.995744722222224
V382 Nor ,16:19:44.74,-51:34:53.10,n ,244.93641666666662,-51.58141666666667
HP Nor ,16:20:49.58,-54:53:23.00,ugz ,245.20660708333327,-54.889715833333334
U Sco ,16:22:30.81,-17:52:44.10,nrb ,245.62824625,-17.878657222222223
Sco ,16:23:34.13,-26:31:34.90,cv ,,
Sco ,16:23:34.32,-26:30:39.30,cv ,,
Sco ,16:23:46.40,-26:31:15.70,qso/cv ,,
PZ Nor ,16:24:45.87,-57:14:04.20,non-cv ,246.19119374999994,-57.23479944444445
IK Nor ,25:29.00,-55:20:01.00,ug ,246.37047291666664,-55.33416444444445
TU Oph ,16:26:39.22,-22:18:58.60,non-cv ,246.66360124999997,-22.316355555555557
KQ Nor ,16:27:33.16,-59:19:56.90,non-cv ,246.8879808333333,-59.33256805555556
Sco1 ,16:28:08.70,-38:48:43.00,cv ,,
FL TrA ,16:30:36.61,-61:50:21.00,ugsu ,247.65156499999998,-61.84117333333334
LR Nor ,16:33:53.65,-56:27:59.30,non-cv ,248.47348749999998,-56.46644638888889
OY Ara ,16:40:50.27,-52:25:51.30,na ,250.21005541666665,-52.43074972222222
AC Sco ,16:46:45.91,-27:24:25.20,non-cv ,251.64665083333333,-27.388016666666665
V663 Ara ,16:46:57.71,-55:41:21.20,ugsu ,251.74017499999997,-55.689454166666664
AF Sco ,16:50:25.58,-25:33:37.50,non-cv ,252.60666625,-25.560483611111113
DV Sco ,16:50:27.93,-28:07:58.60,ugsu ,252.6162591666666,-28.132878333333334
V840 Oph ,16:54:43.92,-29:37:26.80,na ,253.68299999999994,-29.624111111111112
V422 Ara ,16:59:18.86,-61:43:30.90,non-cv ,254.82738583333332,-61.72429694444445
V433 Ara ,17:00:06.06,-57:51:52.10,nl/ugz ,255.02497416666665,-57.86457638888889
V1195 Oph ,17:00:21.68,-20:53:33.80,ugsu ,255.09028416666666,-20.892713055555554
V1235 Oph ,17:01:49.99,-20:21:00.50,n or uv ,255.4583333333333,-20.350194444444448
V598 Sco ,17:02:46.52,-34:40:28.40,non-cv ,255.69406833333332,-34.67469361111111
V601 Sco ,17:04:05.34,-36:43:33.80,ug ,256.020045,-36.725252222222224
V1326 Oph ,17:05:02.30,-18:59:29.30,UG ,256.2595833333333,-18.99138888888889
V992 Sco ,17:07:17.44,-43:15:21.60,na ,256.8227391666667,-43.256085
V455 Sco ,17:07:21.71,-34:05:14.20,non-cv ,256.8405604166667,-34.08734333333334
FQ Sco ,17:08:04.49,-32:42:01.80,ugSS ,257.01878,-32.70062277777778
V2051 Oph ,17:08:19.09,-25:48:30.80,ugsu ,257.0795304166666,-25.80880666666667
V2101 Oph ,17:09:38.05,-27:18:56.20,non-cv ,257.4083870833333,-27.315503055555556
V2214 Oph ,17:12:01.58,-29:37:33.30,nb/am ,258.00705874999994,-29.62577277777778
V2400 Oph ,17:12:36.43,-24:14:44.70,dq ,258.15176374999993,-24.24577027777778
V1186 Sco ,17:12:51.28,-30:56:37.60,nb ,258.2136133333333,-30.943805277777777
V499 Ara ,17:14:39.36,-58:53:51.10,ug ,258.664,-58.897527777777775
V877 Ara ,17:16:53.89,-65:32:51.50,ugsu ,259.22474874999995,-65.54768222222222
V2573 Oph ,17:19:14.09,-27:22:35.20,n ,259.8086916666666,-27.37644722222222
V2264 Oph ,17:20:20.83,-26:46:26.30,na ,260.0867916666666,-26.77397222222222
V729 Sco ,17:22:02.66,-32:05:48.80,n or m ,260.5120833333333,-32.09702777777778
V2527 Oph ,17:22:04.37,-19:49:08.50,ugsu ,260.51662541666667,-19.818959444444445
