Name,RA,Dec,Object Type 
Sgr ,18:16:35.10,-30:44:06.00,ug 
Sgr ,18:16:48.52,-22:03:14.30,ug 
Sgr ,18:16:56.78,-23:29:50.90,ug 
V5115 Sgr ,18:16:58.96,-25:56:38.90,n 
Sgr ,18:17:00.49,-23:13:02.80,ug 
Sgr ,18:17:17.88,-24:13:50.30,ug 
FM Sgr ,18:17:18.10,-23:38:27.10,na 
Sgr ,18:17:29.87,-23:43:55.90,ug 
Sgr ,18:17:32.98,-21:59:12.70,ug 
Sgr ,18:17:39.73,-25:40:24.30,ug 
Sgr ,18:17:48.46,-29:52:14.00,ug 
Sgr ,18:17:50.40,-32:26:41.80,ug 
V5116 Sgr ,18:17:50.79,-30:26:32.40,n 
Sgr ,18:17:54.72,-23:50:25.70,ug 
Sgr ,18:17:54.78,-30:03:53.90,ug 
Sgr ,18:17:57.85,-25:47:02.20,ugsu 
Sgr ,18:18:24.33,-30:23:37.10,ug 
Sgr ,18:18:25.94,-23:55:30.80,ug 
Sgr ,18:18:30.39,-31:26:07.90,ug 
V1149 Sgr ,18:18:30.40,-28:17:17.00,nb 
Sgr ,18:18:49.85,-23:36:38.20,ug 
Sgr ,18:18:50.30,-23:36:14.90,cv 
V1150 Sgr ,18:54.00,-24:05:44.00,nb 
V928 Sgr ,18:18:59.30,-28:06:00.00,nb 
GM Sgr ,18:19:21.53,-25:25:37.70,non-cv 
V4641 Sgr ,18:19:21.58,-25:24:25.10,non-cv 
V5114 Sgr ,18:19:32.29,-28:36:35.70,n 
V726 Sgr ,18:19:33.69,-26:53:19.60,na 
V4065 Sgr ,19:38.00,-24:43:56.00,n 
Sgr ,18:19:48.99,-25:18:37.70,ug 
V1016 Sgr ,18:19:57.67,-25:11:14.00,na 
Sgr ,18:20:10.90,-22:13:22.30,ugsu 
Sgr ,18:20:36.33,-30:54:01.50,ug 
V4049 Sgr ,18:20:38.06,-27:56:26.00,n 
Sgr ,18:20:47.27,-22:03:14.40,ug 
Sgr ,18:20:49.54,-22:22:29.60,ug 
Sgr ,18:20:55.04,-31:28:57.90,ug 
Sgr ,18:21:15.35,-22:04:05.70,ugsu 
V4633 Sgr ,18:21:40.47,-27:31:38.00,na 
Sgr ,18:21:44.59,-30:47:08.90,ug 
Sgr ,18:21:53.55,-31:06:41.70,ug 
Sgr ,18:22:06.93,-31:27:42.40,ug 
V441 Sgr ,18:22:08.09,-25:28:53.70,na 
Sgr ,18:22:35.67,-30:54:35.30,cv 
Sgr ,18:22:41.28,-21:45:24.20,ug 
GR Sgr ,18:22:58.55,-25:34:47.30,n 
Sgr ,18:23:10.85,-21:23:06.60,ug 
Sgr ,18:23:14.95,-21:59:38.20,ug 
V4169 Sgr ,18:23:26.94,-28:21:59.70,na 
Sgr ,18:23:35.49,-21:29:00.00,ug 
Sgr ,18:23:40.81,-30:21:35.00,cv 
V4171 Sgr ,18:23:41.34,-22:59:28.70,na 
Sgr ,18:23:41.35,-30:21:56.60,ug 
V4361 Sgr ,18:23:42.46,-18:07:14.70,n 
WW Tel ,23:56.00,-54:59:45.00,UG 
Sgr ,18:24:44.48,-24:50:24.90,non-cv 
V655 CrA ,18:24:44.70,-36:59:45.00,n 
V4739 Sgr ,18:24:46.04,-30:00:41.10,na 
Sgr ,18:24:48.95,-30:23:49.60,ug 
V1151 Sgr ,18:25:23.75,-20:11:59.30,nb 
V4019 Sgr ,18:25:27.32,-25:40:07.50,non-cv 
V909 Sgr ,18:25:52.30,-35:01:26.90,na 
V3941 Sgr ,18:25:58.26,-29:25:48.90,UG 
DP Pav ,18:26:20.30,-64:57:37.50,non-cv 
BS Sgr ,18:26:46.72,-27:08:20.00,nb 
V1988 Sgr ,18:27:57.37,-27:37:23.10,non-cv 
HS Sgr ,18:28:03.44,-21:34:24.70,nb 
LQ Sgr ,18:28:28.98,-27:55:19.60,non-cv 
V3462 Sgr ,30:19.00,-32:37:55.00,UG 
V4362 Sgr ,18:30:23.11,-17:11:56.90,nb 
Sgr ,18:30:24.36,-26:37:55.80,ug 
V3890 Sgr ,18:30:43.29,-24:01:08.90,nra 
Sgr2 ,18:31:23.50,-32:20:49.00,cv 
V2359 Sgr ,31:35.00,-32:25:52.00,UG 
V2572 Sgr ,18:31:36.75,-32:35:57.70,na 
V1017 Sgr ,18:32:04.47,-29:23:12.30,nb/dn 
V3876 Sgr ,18:33:12.67,-20:05:49.90,non-cv 
Sgr ,18:33:17.45,-27:16:09.20,cv 
Sgr ,18:33:17.91,-27:13:08.50,ug 
V1905 Sgr ,18:33:42.10,-25:20:42.00,n 
YY Tel ,18:33:56.35,-53:58:49.80,ugwz 
V939 Sgr ,18:34:23.05,-26:54:31.50,non-cv 
V4077 Sgr ,18:34:39.41,-26:26:02.90,nb 
V941 Sgr ,18:34:43.51,-29:34:48.80,non-cv 
V1310 Sgr ,18:35:01.01,-30:03:35.60,nb 
V3608 Sgr ,18:35:24.55,-35:32:04.50,UG 
Sgr ,18:35:30.20,-23:54:33.00,cv 
V662 CrA ,18:35:30.53,-36:56:44.70,ug 
Sgr ,18:35:44.50,-24:00:10.70,cv 
Sgr ,18:35:45.71,-32:59:24.00,cv 
V3645 Sgr ,18:35:49.21,-18:41:45.10,nb 
Sgr ,18:35:55.58,-29:04:44.20,cv 
Sgr ,18:36:02.72,-23:55:24.60,ugsu 
Sgr ,18:36:18.50,-24:00:54.90,cv 
Sgr ,18:36:19.00,-23:52:18.00,cv 
Sgr ,18:36:24.66,-23:54:35.50,ug 
Sgr ,18:36:25.40,-23:55:20.80,cv 
Sgr ,18:36:28.90,-23:56:25.90,cv 
Sgr ,18:36:45.40,-23:51:58.40,cv 
BP CrA ,18:36:50.89,-37:25:53.60,ugz 
V2012 Sgr ,18:37:12.43,-26:10:21.80,non-cv 
V4021 Sgr ,38:14.00,-23:22:47.00,na 
